-----------------------------------------------
ace.map QC reference file generated Wed May 02 17:12:44 CEST 2007
ace.map QC version: 1.0
http://www.iri.cnrs.fr/seg
-----------------------------------------------

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope	

051204050320pr9_ 040720-1401.ma0	8.7101	0.4125	0.5403	0.5009	0.0000	0.5875	4.8797	2.2924	0.1200	6.4747	0.1756	-3.2881	0.3350	0.1211	1.4791	-2.6135	1.7232	1.0233	-1.5329	0.0404	0.1071	1.4729	-4.6483
051204050320pr9_ 040720-1418.ma0	8.5014	0.4327	0.5797	0.5258	0.0000	0.5673	4.5945	2.3753	0.1800	6.6048	0.1177	-3.2560	0.3350	0.0960	1.5074	-2.7486	2.4179	0.7306	-1.2315	0.0549	0.0838	1.4884	-3.8180
051204050320pr9_040722-1220.ma0	-2.8233	0.4959	0.0000	0.0000	0.0000	0.5041	2.9115	1.1798	0.6300	6.7405	1.9679	-4.5716	0.3350	-0.1747	1.5926	-2.7286	0.9355	-11.6758	2.5525	0.0468	1.3179	4.5453	0.7138
051204050320pr9_040722-1236.ma0	7.7166	0.5379	0.7824	0.5179	0.0000	0.4621	3.1608	2.3559	0.2100	7.1481	0.5377	-3.4971	0.3350	0.1135	1.5316	-2.9839	2.1184	1.5209	-1.3964	0.0397	0.1208	2.3222	-3.6420
051204050320pr9_040722-1253.ma0	7.9142	0.5359	0.7233	0.5551	0.0000	0.4641	3.7150	2.3376	0.2400	6.5376	0.1727	-2.0996	0.3350	0.0391	1.5344	-2.8367	3.1288	0.6458	-1.0909	0.0286	0.1297	1.8629	-2.8888
051204050320pr9_040722-1310.ma0	7.8649	0.4880	0.6855	0.5895	0.0000	0.5120	2.9031	2.3799	0.2400	6.6454	0.3156	-2.1680	0.3350	0.0200	1.5264	-2.9972	3.1232	0.5934	-1.0503	0.0045	0.1316	2.8233	-2.3309
051204050320pr9_040722-1326.ma0	7.8967	0.5020	0.7317	0.5170	0.0000	0.4980	3.3602	2.3843	0.2400	6.5924	0.4351	-3.7607	0.3350	0.0327	1.5354	-2.7917	2.0584	1.2707	-1.4474	0.0038	0.1252	2.3462	-3.0676
051204050320pr9_040722-1345.ma0	8.0358	0.5451	0.7251	0.5686	0.0000	0.4549	3.9352	2.3039	0.1800	6.7492	0.4967	-3.0401	0.3350	-0.0043	1.5422	-2.9506	2.0569	1.4303	-1.4312	0.0067	0.1590	2.5783	-2.6175
051204050320pr9_040722-1422.ma0	5.8224	0.7650	0.9505	0.4615	0.0000	0.2350	2.0613	2.1740	0.3900	6.6676	0.6266	-2.7154	0.3350	0.0120	1.5461	-2.7251	3.1845	0.9890	-1.1977	0.0068	0.3405	-1.4915	-0.3460
051204050320pr9_041016-1601.ma0	7.3835	0.5915	0.7933	0.5148	0.0000	0.4085	3.5421	2.2224	0.2400	6.4846	0.4906	-3.7895	0.3350	0.0598	1.4921	-2.5860	1.9272	1.2941	-1.5649	0.0058	0.1359	2.0217	-2.7834
051204050320pr9_050228-1835.ma0	9.3579	0.4591	0.2935	0.5613	0.0000	0.5409	7.5205	2.2560	0.6000	6.9457	-0.4156	-2.3025	0.3350	0.0446	1.5533	-3.2970	3.0855	0.3175	-1.1196	0.0173	0.1847	2.0513	-2.8907
051204050320pr9_050228-1850.ma0	9.0984	0.3322	0.3494	0.4991	0.0000	0.6678	4.1182	2.4376	0.1200	6.5309	-0.3512	-2.9895	0.3350	0.0261	1.4981	-3.1364	2.8314	0.5095	-1.2281	0.0274	0.1453	1.8838	-2.8214
051204050320pr9_050228-1920.ma0	9.3832	0.3377	0.3109	0.5510	0.0000	0.6623	4.0889	2.5555	0.2400	6.6317	-0.2691	-3.0150	0.3350	0.0418	1.5152	-3.1079	2.4443	0.7187	-1.3410	0.0125	0.1848	1.8343	-2.7924
051204050320pr9_050228-1935.ma0	9.3200	0.4059	0.2586	0.5042	0.0000	0.5941	5.7888	2.3305	0.4200	6.8445	-0.5706	-2.2617	0.3350	0.0732	1.5522	-3.2640	3.2656	0.1841	-1.1001	0.0114	0.1971	1.9125	-2.5169
051204050320pr9_HA00658.ma0	8.8059	0.4137	0.5119	0.4671	0.0000	0.5863	5.6427	2.3001	0.1200	6.3238	-0.0530	-3.7432	0.3350	0.0897	1.4582	-2.6698	1.9972	0.8397	-1.6523	0.0207	0.1538	1.6059	-2.6963
051204050320pr9_HA0065M.ma0	9.1511	0.3695	0.3729	0.6203	0.0000	0.6305	4.9256	2.4395	0.1200	6.4671	-0.1223	-2.1535	0.3350	0.0189	1.5353	-2.8922	2.5260	0.2405	-1.0900	0.0103	0.1313	1.9928	-3.1327
051204050722bell_050129-1342.ma0	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	-0.0868	0.0000	0.3350	0.0000	0.0000	-6.9078	0.0000	-0.0001	-0.9990	0.0000	0.0000	0.0000	-1.0000
051204050722bell_050129-1404.ma0	8.2407	0.4473	0.3835	0.4002	0.0000	0.5527	4.3317	2.2057	0.6900	6.2315	-0.6069	-2.3515	0.3350	0.2750	1.5826	-2.7384	3.6390	-0.1837	-1.1153	0.0063	0.1326	1.4446	-1.3247
051204050722bell_050129-1419.ma0	8.6775	0.4141	0.2738	0.4601	0.0000	0.5859	4.2971	2.2166	0.5400	6.2246	-0.7971	-1.8489	0.3350	0.1678	1.5463	-2.8213	3.6606	-0.5121	-1.0799	0.0289	0.1210	1.8324	-1.5737
051204050722bell_050129-1433.ma0	8.2345	0.3520	0.4454	0.5269	0.0000	0.6480	3.2171	2.2947	0.1800	6.7271	-0.2929	-3.3700	0.3350	0.2893	1.4411	-2.7902	2.7234	0.3552	-1.2842	0.1599	0.0149	1.4078	-7.0364
051204050722bell_050129-1448.ma0	8.2198	0.2934	0.3393	0.4973	0.0000	0.7066	2.6842	2.2908	0.1800	6.0837	-0.7109	-2.4824	0.3350	0.2532	1.4942	-2.6606	3.1576	-0.2430	-1.2356	0.0211	0.1316	1.7702	-1.8733
051204050722bell_050130-1426.ma0	8.2189	0.4850	0.4639	0.4049	0.0000	0.5150	5.1403	2.2604	0.8100	6.8944	-0.2452	-1.6372	0.3350	0.4989	1.4777	-2.9621	3.8442	0.1115	-1.0563	0.0285	0.1088	2.0145	-1.4987
051204050722bell_050130-1441.ma0	8.4004	0.3280	0.4459	0.5009	0.0000	0.6720	2.8728	2.4549	0.2400	6.8763	-0.2877	-1.6140	0.3350	0.4355	1.4999	-3.0898	3.9760	0.0754	-1.0176	0.0134	0.1366	2.3746	-2.1974
051204050722bell_050130-1457.ma0	8.3626	0.4197	0.3722	0.3916	0.0000	0.5803	4.0697	2.2967	0.6000	6.3512	-0.6056	-1.9560	0.3350	0.3201	1.5170	-2.7530	3.4082	-0.0750	-1.1838	0.0550	0.0820	1.9563	-1.4433
051204050722bell_050130-1512.ma0	8.2831	0.3411	0.4739	0.4725	0.0000	0.6589	2.9736	2.3812	0.2400	6.6157	-0.3797	-2.2752	0.3350	0.1683	1.5581	-2.9303	3.4344	0.2586	-1.1929	0.0783	0.0624	2.8811	-0.9396
051204050722bell_050130-1528.ma0	8.5234	0.4107	0.3287	0.3928	0.0000	0.5893	4.2640	2.2857	0.5700	6.1174	-0.6674	-1.9219	0.3350	0.2139	1.5727	-2.6963	3.6412	-0.3662	-1.1306	0.0156	0.1160	1.4401	-1.5094
051204050722bell_050130-1544.ma0	8.2365	0.4163	0.3354	0.3916	0.0000	0.5837	3.8356	2.2192	0.6000	6.7635	-0.7365	-3.0233	0.3350	0.2322	1.5012	-2.9967	3.5390	-0.0206	-1.0703	0.2385	-0.1356	2.3370	-1.6215
051204050722bell_050130-1559.ma0	8.5280	0.4415	0.3349	0.4551	0.0000	0.5585	4.6976	2.2230	0.6300	6.3879	-0.6026	-2.3176	0.3350	0.1988	1.5102	-2.7529	3.3252	-0.1822	-1.1808	0.0555	0.1040	1.6599	-1.3830
051204050722bell_050130-1615.ma0	8.2141	0.4811	0.4259	0.4303	0.0000	0.5189	5.1061	2.1496	0.7800	6.7114	-0.3397	-3.7917	0.3350	0.2390	1.4684	-3.0983	3.2567	0.4723	-1.2047	0.0134	0.1325	1.8650	-2.5936
051204050722bell_HA002JY.ma0	8.3569	0.4707	0.4119	0.4542	0.0000	0.5293	4.4789	2.2175	0.7500	6.4056	-0.5877	-1.8645	0.3350	0.2141	1.5916	-2.9075	3.5593	0.0354	-1.1301	0.0098	0.1745	1.6798	-1.1869
051204050722bell_HA002JZ.ma0	8.1855	0.3890	0.5116	0.5386	0.0000	0.6110	3.3527	2.2878	0.2400	6.7847	-0.1530	-2.6588	0.3350	0.2404	1.4611	-2.8920	3.0221	0.4874	-1.2442	0.0577	0.1247	1.7550	-2.6619
051204050722bell_HA00667.ma0	8.6563	0.3989	0.2642	0.4667	0.0000	0.6011	4.0957	2.2123	0.4800	6.9689	-0.6456	-1.5130	0.3350	0.3659	1.4785	-3.3336	4.0206	-0.1945	-0.9776	0.0290	0.1563	2.4339	-2.2533
051204050722bell_HA00668bis.ma0	8.2457	0.3916	0.3318	0.3440	0.0000	0.6084	3.8047	2.2451	0.5100	6.8337	-0.6227	-1.7737	0.3350	0.2851	1.5389	-3.3336	4.3563	-0.0111	-0.9648	0.0284	0.1375	1.3273	-0.6790
051204050722bell_HA008KB.ma0	8.4618	0.3324	0.4168	0.6078	0.0000	0.6676	2.8120	2.3654	0.1800	6.5403	-0.4432	-2.6444	0.3350	0.0603	1.5279	-3.1032	3.1062	0.3590	-1.2054	0.0132	0.1634	1.9409	-2.0529
051204050722bell_HA008KD.ma0	8.2201	0.4165	0.5470	0.5461	0.0000	0.5835	3.8489	2.3283	0.2100	6.8853	0.0821	-2.4248	0.3350	0.2835	1.4286	-3.0033	2.9566	0.6641	-1.1943	0.0416	0.1540	2.3298	-2.3823
051204050722bell_HA008KJ.ma0	8.5627	0.4280	0.3429	0.4314	0.0000	0.5720	4.4578	2.2507	0.6000	6.7514	-0.4104	-1.4082	0.3350	0.3863	1.4877	-2.9833	3.9027	-0.2066	-1.0207	0.0349	0.1301	2.1091	-2.1420
051204050722bell_HA008KT.ma0	8.1158	0.4860	0.4544	0.4190	0.0000	0.5140	4.7796	2.1553	0.8100	6.7734	-0.3687	-2.0120	0.3350	0.4671	1.4476	-3.1320	3.7334	0.3172	-1.1239	0.0259	0.1322	2.2983	-1.6257
051204050722bell_HA008KU.ma0	8.5447	0.3458	0.4083	0.5781	0.0000	0.6542	3.1606	2.2998	0.1800	6.4994	-0.5087	-1.5406	0.3350	0.2191	1.5237	-3.1011	3.7835	-0.0408	-1.0293	0.0137	0.1983	2.2767	-1.3980
051204050722bell_HA008KY.ma0	8.5440	0.4216	0.3449	0.4019	0.0000	0.5784	4.4141	2.3021	0.6000	6.6181	-0.5236	-1.5277	0.3350	0.2670	1.5590	-3.0862	4.1935	-0.2385	-0.9593	0.0169	0.1200	2.1739	-2.1945
MA0070K.ma0	8.0337	0.3248	0.3249	0.5756	0.0000	0.6752	2.9467	2.1405	0.1800	6.8175	-0.3586	-3.2974	0.3350	0.0393	1.4905	-3.2470	2.6015	0.7283	-1.2937	0.0736	0.1365	2.4484	-1.6955
MA0070Q.ma0	7.8493	0.3405	0.3595	0.5384	0.0000	0.6595	3.1676	2.0964	0.1800	6.5632	-0.6499	-1.8579	0.3350	0.2628	1.5566	-2.9723	3.9301	-0.1724	-1.0398	0.0583	0.2189	0.7042	-1.5990
MA00711.ma0	7.7608	0.3395	0.3673	0.5196	0.0000	0.6605	3.0022	2.0924	0.2100	6.4039	-0.5740	-2.1598	0.3350	0.1945	1.5735	-2.9020	3.7970	-0.1691	-1.0563	0.0099	0.2351	0.9536	-1.2833
MA00714.ma0	7.6639	0.3409	0.3836	0.5284	0.0000	0.6591	2.9804	2.0803	0.2100	6.6628	-0.3547	-3.5472	0.3350	0.1765	1.4575	-3.1484	2.7800	0.6856	-1.3193	0.0320	0.1784	1.5694	-1.6638
MA007OE.ma0	8.3761	0.5687	0.5721	0.4707	0.0000	0.4313	10.8582	2.1620	1.1100	7.2125	0.1098	-1.4818	0.3350	0.3805	1.4879	-3.2240	3.9224	0.5667	-1.0442	0.0623	0.1518	1.9935	-1.4957
MA007OH.ma0	8.0575	0.5847	0.6095	0.4580	0.0000	0.4153	10.4901	2.1141	1.1700	6.9244	0.1490	-1.6741	0.3350	0.2851	1.5286	-2.9447	3.6558	0.4720	-1.1026	0.0254	0.1514	1.8807	-1.6580
MA007ON.ma0	8.5235	0.5636	0.5331	0.5138	0.0000	0.4364	10.7551	2.2148	1.0500	6.7096	-0.1118	-1.4700	0.3350	0.1022	1.6146	-3.0391	3.7088	0.3260	-1.1038	0.0355	0.1826	2.0007	-1.2599
MA007OO.ma0	8.7736	0.5699	0.5430	0.5146	0.0000	0.4301	12.0699	2.2911	1.1400	6.7584	-0.0492	-1.1963	0.3350	0.2774	1.5536	-2.7966	3.4684	0.2599	-1.1464	0.1638	0.0632	0.1622	-6.2776
MA007OR.ma0	8.0655	0.5119	0.6699	0.5095	0.0000	0.4881	4.7524	2.3743	0.3900	7.2636	0.2581	-1.7833	0.3350	0.2608	1.5441	-3.2553	3.6987	0.8596	-1.1050	0.0138	0.1955	2.6578	-1.8768
MA007OS.ma0	8.1250	0.5645	0.5746	0.4568	0.0000	0.4355	9.6301	2.1391	1.1100	7.1780	0.0020	-1.6586	0.3350	0.2854	1.5430	-3.2358	4.0834	0.4812	-1.0030	0.0407	0.1410	2.1951	-1.6695
MA007OU.ma0	8.3239	0.5536	0.5439	0.4626	0.0000	0.4464	9.9116	2.1910	1.0800	5.6841	0.0022	-1.5735	0.3350	0.2642	1.4808	-1.8546	2.5943	-0.2161	-1.3456	0.0804	0.0531	0.2788	-14.8796
MA007P0.ma0	8.4365	0.5584	0.5537	0.4632	0.0000	0.4416	9.9870	2.2137	1.0800	6.8488	0.1164	-1.5764	0.3350	0.1055	1.5753	-3.0918	3.6801	0.5074	-1.0695	0.0202	0.1513	2.4187	-1.4096
MA007P1.ma0	8.5966	0.5401	0.5147	0.4629	0.0000	0.4599	10.7829	2.2712	0.9900	6.8801	-0.0320	-1.3647	0.3350	0.1896	1.5931	-3.0974	3.8317	0.3613	-1.0792	0.0146	0.1789	2.2255	-1.3757
MA007P8.ma0	8.2483	0.5459	0.5415	0.4409	0.0000	0.4541	8.9311	2.2411	1.0500	6.8018	-0.0364	-1.6514	0.3350	0.0911	1.6317	-2.8569	3.6363	0.3222	-1.1045	0.1161	0.0668	0.4352	-6.0766
MA007P9.ma0	8.7574	0.5421	0.4994	0.4776	0.0000	0.4579	11.3845	2.2549	1.0500	6.5930	0.0343	-1.3710	0.3350	0.1674	1.5778	-2.8969	3.6470	0.2029	-1.0929	0.0102	0.1609	2.2110	-1.3234
MA007PA.ma0	8.5408	0.5692	0.5490	0.5090	0.0000	0.4308	11.7897	2.1589	1.1700	6.9244	0.0944	-1.2678	0.3350	0.3528	1.5094	-3.1005	3.7774	0.3950	-1.0762	0.0146	0.2175	2.3509	-1.3147
RA0C1R1.ma0	7.3038	0.3436	0.3779	0.4987	0.0000	0.6564	2.6540	2.0203	0.3000	6.5543	-0.3046	-4.1595	0.3350	0.0519	1.4916	-2.9765	2.5851	0.7233	-1.3623	0.0684	0.1998	0.6959	-1.1924
RA0C1R2.ma0	7.8228	0.3432	0.3014	0.5554	0.0000	0.6568	3.3075	2.0314	0.1800	6.3879	-0.5591	-3.6124	0.3350	0.1740	1.4696	-2.6991	2.2313	0.3175	-1.4003	0.1110	0.3932	-1.4789	-1.0844
RA0C1R3.ma0	7.3343	0.3089	0.3301	0.4432	0.0000	0.6911	2.5047	2.0586	0.2400	5.9948	-0.7387	-3.3676	0.3350	0.1253	1.5628	-2.5705	3.2322	-0.1977	-1.2462	0.0650	0.1222	0.0844	-2.9888
RA0C1R4.ma0	7.2798	0.3297	0.3556	0.4792	0.0000	0.6703	2.6429	1.9895	0.2400	6.1029	-0.4381	-4.8654	0.3350	0.0840	1.4520	-2.6619	2.3652	0.4445	-1.4910	0.0206	0.1852	0.9118	-1.6943
RA0C1R5.ma0	7.8789	0.2863	0.2090	0.4981	0.0000	0.7137	2.6812	2.0448	0.1200	5.6317	-1.0930	-4.1654	0.3350	-0.0020	1.4993	-2.6592	2.5973	-0.3284	-1.3975	0.0000	0.2218	0.2366	-1.5409
RA0C2R1.ma0	7.5836	0.3228	0.3321	0.5254	0.0000	0.6772	2.7492	2.0504	0.2100	6.0517	-0.5885	-4.1458	0.3350	0.0744	1.4825	-2.4932	2.3843	0.1128	-1.4622	0.0898	0.1276	0.2445	-2.3206
RA0C2R2.ma0	7.5822	0.3643	0.3433	0.6599	0.0000	0.6357	3.1016	1.8872	0.1500	6.3343	-0.3660	-3.6422	0.3350	0.0621	1.5428	-2.9437	1.9569	0.7859	-1.5604	0.0091	0.2285	1.5082	-2.3702
RA0C2R3.ma0	7.3035	0.3250	0.3446	0.5567	0.0000	0.6750	2.6925	1.9306	0.1500	5.8821	-0.5787	-3.0814	0.3350	0.0233	1.5264	-2.6585	2.6872	0.0788	-1.3278	0.0002	0.2339	0.9228	-1.4918
RA0C2R4.ma0	7.5291	0.3052	0.2701	0.5493	0.0000	0.6948	2.5595	1.9419	0.1500	6.0513	-0.6705	-4.0581	0.3350	0.1241	1.4421	-2.7391	2.1432	0.3110	-1.5335	0.0064	0.2126	1.0206	-1.5225
RA0C2R5.ma0	7.2473	0.3126	0.2856	0.4651	0.0000	0.6874	2.5043	1.9328	0.2100	6.4321	-0.6721	-5.6699	0.3350	0.0102	1.4886	-2.9553	2.7639	0.2857	-1.2857	0.0772	0.1056	0.4844	-2.7756


MEAN	8.0317	0.4373	0.4378	0.4874	0.0000	0.5627	4.8430	2.2029	0.4388	6.4906	-0.2167	-2.6016	0.3350	0.1572	1.4977	-2.9697	3.0024	0.1993	-1.1657	0.0386	0.1614	1.6277	-2.4317
VARIANCE	2.8663	0.0131	0.0268	0.0100	0.0000	0.0131	7.0839	0.1013	0.1103	0.6760	0.1933	1.0270	0.0000	0.0167	0.0322	0.2701	0.6184	2.0915	0.2173	0.0019	0.0227	0.8647	3.6326
STANDARD_DEV	1.6930	0.1144	0.1637	0.1002	0.0000	0.1144	2.6616	0.3182	0.3320	0.8222	0.4396	1.0134	0.0000	0.1292	0.1795	0.5197	0.7864	1.4462	0.4662	0.0433	0.1507	0.9299	1.9059
WEIGHT	0.0062	0.0912	0.0637	0.1041	0.0000	0.0912	0.0039	0.0328	0.0314	0.0127	0.0237	0.0103	0.0000	0.0808	0.0581	0.0201	0.0133	0.0072	0.0224	0.2412	0.0692	0.0112	0.0055
